customer_id,date,age,occupation,monthly_income,monthly_credit,monthly_debit,starting_balance,ending_balance,monthly_invest_gain,monthly_invest_return_pct,initial_credit_score,final_credit_score,transaction_category_major,customer_feedback
CUST00001,2025-01-31,45,Teacher,3723.47,3801.07,2467.52,11200.47,12534.02,77.6,0.52,668,673,dining,"Dining was enjoyable, but finances remain strong."
CUST00002,2025-01-31,21,Teacher,5275.91,6245.5,6829.58,12190.17,11606.1,315.29,1.74,633,638,healthcare,"Healthcare costs were high, good reserves helped."
CUST00003,2025-01-31,45,Self-employed,3481.94,4089.6,5530.05,3511.02,2070.57,59.57,0.79,696,686,dining,Dining out was excessive; need to cut back.
CUST00004,2025-01-31,50,Self-employed,3940.55,5116.7,6419.16,7142.85,5840.39,265.08,2.21,748,753,utilities,Utilities were costly; exploring ways to save energy.
CUST00005,2025-01-31,32,Retail,5704.87,6097.01,2152.2,10235.67,14180.49,295.09,1.84,705,700,dining,"Excellent savings this month, very happy with progress!"
CUST00006,2025-01-31,26,Engineer,6563.84,7271.12,5903.91,7811.2,9178.41,352.05,2.39,627,622,dining,"Managed dining costs well, financial health is good."
CUST00007,2025-01-31,36,Healthcare,3990.87,6456.65,8676.66,7461.86,5241.84,236.7,1.73,743,738,shopping,Shopping spree impacted balance; will be more mindful.
CUST00008,2025-01-31,44,Finance,7823.06,8723.14,7201.27,24270.85,25792.72,494.0,1.52,759,769,education,Education investment continues; strong savings too.
CUST00009,2025-01-31,33,Retail,1604.24,1977.79,1633.71,3580.13,3924.21,58.3,1.06,645,650,transport,"Transport costs manageable, but savings growth is slow."
CUST00010,2025-01-31,51,Manager,5528.41,6536.42,8142.47,2945.57,1339.52,128.15,1.37,670,675,groceries,Groceries were pricey; next month requires strict budgeting.
CUST00011,2025-01-31,55,Student,3110.72,4170.34,22035.9158255476,2123.53,2634.51,121.59,1.97,728,718,dining,"Dining was a treat, but aiming for higher savings."
CUST00012,2025-01-31,22,Manager,6930.78,8292.94,2132.04,23506.19,29667.09,0.0,-0.4,731,741,groceries,Groceries managed well; excellent progress on savings!
CUST00013,2025-01-31,24,Student,7509.59,9211.24,5731.32,17191.51,20671.43,178.33,0.68,690,695,shopping,Shopping was reasonable; solid financial standing.
